strategy_id,strategy,detailed_description,universe,asset_class,status,selection_mode,params,sharpe_is,sharpe_oos,sharpe,maxdd_is,maxdd_oos,maxdd,cagr_is,cagr_oos,cagr,trades_is,trades_oos,sharpe_oos_cost_stress_2x,psa_status,psa_stable_cells,psa_grid_cells,robustness_guardrails,robustness_confidence,run_id,note
T-14,FX trend MA,"Trend in FX majors: MA cross on EURUSD, GBPUSD, etc.",EURUSD,fx,OK,baseline_fallback,"{""fast_ma"": 50, ""slow_ma"": 200}",0.0252,0.3009,0.3009,-0.2502,-0.0485,-0.0485,-0.0012,0.0177,0.0177,15,1,0.2758,NO_STABLE,0,6,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),38.0,catalog_t_14,baseline fallback
T-07,Multi-horizon ensemble,Multi-horizon momentum ensemble: Average 5/10/20/60d momentum signals,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},0.8801,0.8801,0.8801,-0.7359,-0.7359,-0.7359,0.3409,0.3409,0.3409,164,164,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_t_07,multi-horizon ensemble; runner full-sample fallback
T-11,Session volume momentum,Session volume momentum: 13:30–15:00 UTC: trade sign of first 30m return if volume rising,BTCUSDT 1h,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},-2.8633,-2.8633,-2.8633,-0.9812,-0.9812,-0.9812,-0.3675,-0.3675,-0.3675,1790,1790,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_t_11,session clock; runner full-sample fallback
T-12,Hour-of-day vol tilt,"Hour-of-day vol premium tilt: Small long bias at 00:00 UTC, reduce into 02:00–06:00",BTCUSDT 1h,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},-0.1894,-0.1894,-0.1894,-0.5038,-0.5038,-0.5038,-0.0541,-0.0541,-0.0541,18689,18689,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_t_12,continuous exposure; runner full-sample fallback
T-15,Commodity dual momentum,"Commodity dual momentum: Absolute + relative momentum on GLD, USO, etc.",GLD vs USO,commodity,RUNNER_ONLY,catalog_runner_full_sample,{},0.5901,0.5901,0.5901,-0.3344,-0.3344,-0.3344,0.0794,0.0794,0.0794,78,78,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_t_15,dual pick; runner full-sample fallback
MR-01,Bollinger fade,"Bollinger fade: Short upper band touch, long lower (or long-only fade lower)",BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""std_mult"": 2.0, ""window"": 30}",0.4356,-0.2525,-0.2525,-0.4907,-0.2835,-0.2835,0.093,-0.1156,-0.1156,26,6,-0.2803,NO_STABLE,1,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,33.0,catalog_mr_01,soft-selected; stable<3
MR-02,RSI oversold bounce,RSI oversold bounce: Long RSI < 30; exit RSI > 50,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""exit_rsi"": 50, ""oversold"": 30, ""rsi_window"": 10}",0.7132,-0.5837,-0.5837,-0.3006,-0.4274,-0.4274,0.2045,-0.2035,-0.2035,54,15,-0.6536,NO_STABLE,2,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,31.0,catalog_mr_02,soft-selected; stable<3
MR-03,RSI + ER gate,RSI + ER gate: MR-02 only when ER > 0.5,BTCUSDT,crypto,OK,psa_stable_plateau,"{""er_min"": 0.5, ""er_window"": 20, ""exit_rsi"": 50, ""oversold"": 30, ""rsi_window"": 18}",0.8655,-0.2247,-0.2247,-0.1566,-0.178,-0.178,0.1712,-0.0622,-0.0622,11,2,-0.239,STABLE,4,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 4/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",42.0,catalog_mr_03,
MR-04,Z-score vs MA,Z-score price vs MA: Long z < −2; flat/short z > 0,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""window"": 30, ""z_entry"": 2.0}",0.4356,-0.2525,-0.2525,-0.4907,-0.2835,-0.2835,0.093,-0.1156,-0.1156,26,6,-0.2803,NO_STABLE,1,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,33.0,catalog_mr_04,soft-selected; stable<3
MR-05,Intraday gap fade,Intraday gap fade: Fade open gap > X% on crypto perps,BTCUSDT 1h,crypto,NO_TRADES,baseline_fallback,"{""gap_thr"": -0.02}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,NO_STABLE,0,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),20.0,catalog_mr_05,baseline fallback
MR-06,Short-term reversal,Short-term reversal (STR): Long after −2σ daily return; hold 1–5d,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""std_mult"": 1.5, ""window"": 20}",-0.2257,-0.3364,-0.3364,-0.5694,-0.2497,-0.2497,-0.0995,-0.0899,-0.0899,91,28,-0.5206,NO_STABLE,0,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,36.0,catalog_mr_06,soft-selected; stable<3
MR-10,Pairs ratio MR,Pairs ratio MR: Spread z-score on BTC/ETH or correlated perps,BTC/ETH,crypto,OK,soft_grid_max_robust_sharpe,"{""window"": 120, ""z_entry"": 2.0}",0.259,-0.6056,-0.6056,-0.5636,-0.1868,-0.1868,0.0311,-0.1065,-0.1065,5,1,-0.6132,NO_STABLE,0,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,30.0,catalog_mr_10,soft-selected; stable<3
MR-11,RSI on detrended,2-period RSI on detrended: HPF detrend then RSI,BTCUSDT,crypto,OK,psa_stable_plateau,"{""detrend_window"": 15, ""exit_rsi"": 60, ""oversold"": 20, ""rsi_window"": 2}",0.6323,0.3976,0.3976,-0.57,-0.3296,-0.3296,0.1935,0.077,0.077,248,64,0.0917,STABLE,3,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 3/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",62.0,catalog_mr_11,
MR-12,Overnight reversal,Overnight vs intraday reversal: Fade large overnight move in first hour,BTCUSDT 1h,crypto,NO_TRADES,baseline_fallback,"{""overnight_thr"": -0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,NO_STABLE,0,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),20.0,catalog_mr_12,baseline fallback
MR-13,24h ticker fade,24h ticker artifact fade: Front-run hour when large negative rolls out of 24h window,BTCUSDT 1h,crypto,OK,soft_grid_max_robust_sharpe,"{""exit_thr"": -0.02, ""fade_thr"": -0.08}",0.3741,0.586,0.586,-0.4479,-0.1297,-0.1297,0.0708,0.0535,0.0535,124,6,0.5103,NO_STABLE,1,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,68.0,catalog_mr_13,soft-selected; stable<3
MR-14,Low-volume fade,Low-volume fade: Fade >1σ move on <30d median volume,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""ret_window"": 20, ""vol_window"": 50}",1.1602,0.1886,0.1886,-0.3282,-0.1353,-0.1353,0.2173,0.0161,0.0161,70,18,-0.0108,NO_STABLE,2,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,44.0,catalog_mr_14,soft-selected; stable<3
MR-15,QQQ RSI MR,QQQ mean reversion: User branch `cursor/qqq-mean-reversion` baseline,QQQ,equity,OK,psa_stable_plateau,"{""exit_rsi"": 55, ""oversold"": 25, ""rsi_window"": 5, ""trend_ma"": 200}",0.4678,0.1199,0.1199,-0.2667,-0.1257,-0.1257,0.0449,0.0072,0.0072,194,16,-0.0499,STABLE,5,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 5/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",74.0,catalog_mr_15,
MR-07,Turnaround Tuesday,Turnaround Tuesday: Long SPY/SPYUSDT Monday close if Friday red,SPY,equity,RUNNER_ONLY,catalog_runner_full_sample,{},-0.0444,-0.0444,-0.0444,-0.4948,-0.4948,-0.4948,-0.0068,-0.0068,-0.0068,702,702,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_mr_07,calendar effect / skip; runner full-sample fallback
MR-08,Turn-of-month,Turn-of-month: Long last day + first 3 days of month,SPY,equity,RUNNER_ONLY,catalog_runner_full_sample,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,10.0,catalog_mr_08,calendar effect / skip; runner full-sample fallback
MR-09,Holiday effect,Holiday effect: Pre/post holiday drift on SPY,SPY,equity,SKIP,skipped,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,SKIP,0,0,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; no PSA grid / data skip — baseline params only,0.0,catalog_mr_09,calendar effect / skip; runner error: 'numpy.ndarray' object has no attribute 'shift'
V-03,Vol regime switch,Vol regime switch: Trend in low vol tercile; cash in high,BTCUSDT,crypto,OK,psa_stable_plateau,"{""mom_window"": 231, ""vol_window"": 120}",0.7559,0.1188,0.1188,-0.3996,-0.1638,-0.1638,0.1983,0.0038,0.0038,30,5,0.0801,STABLE,3,4,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 3/4 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",66.0,catalog_v_03,
V-07,GARCH vol gate,GARCH vol forecast gate: Only trade when forecast vol < realized,BTCUSDT,crypto,OK,soft_grid_max_robust_sharpe,"{""forecast_window"": 5, ""mom_window"": 60}",1.2013,-0.2816,-0.2816,-0.4583,-0.2613,-0.2613,0.3919,-0.0613,-0.0613,144,32,-0.543,NO_STABLE,1,5,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,35.0,catalog_v_07,soft-selected; stable<3
V-08,Entropy chop filter,Entropy chop filter: Trade MR when entropy high; trend when low,BTCUSDT,crypto,NO_TRADES,baseline_fallback,"{""entropy_thr"": 0.9, ""entropy_window"": 20, ""exit_rsi"": 50, ""oversold"": 35, ""rsi_window"": 14}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,NO_STABLE,0,4,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; baseline params (PSA NO_STABLE / fallback),20.0,catalog_v_08,baseline fallback
V-01,Realized vol breakout,Realized vol breakout: Long vol proxy when 20d vol crosses above 60d,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},0.5405,0.5405,0.5405,-0.5279,-0.5279,-0.5279,0.1487,0.1487,0.1487,1024,1024,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_v_01,continuous exposure; runner full-sample fallback
V-02,Vol targeting overlay,Vol targeting overlay: Scale exposure ∝ target_vol / realized_vol,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},0.9508,0.9508,0.9508,-0.1831,-0.1831,-0.1831,0.1328,0.1328,0.1328,1660,1660,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_v_02,continuous exposure; runner full-sample fallback
V-04,SAR seasonal vol forecast,SAR seasonal vol forecast: Size positions by AR+24h+168h vol forecast,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},0.4113,0.4113,0.4113,-0.9543,-0.9543,-0.9543,0.0093,0.0093,0.0093,38740,38740,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,20.0,catalog_v_04,continuous exposure; runner full-sample fallback
V-05,VIX term structure ⚠️,VIX term structure ⚠️: Short vol when VIX < MA and contango,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},-1.2318,-1.2318,-1.2318,-1.0,-1.0,-1.0,-0.6793,-0.6793,-0.6793,5230,5230,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_v_05,continuous exposure; runner full-sample fallback
V-06,Intraday straddle proxy,Intraday straddle proxy: Long realized vol after DVOL proxy spike,BTCUSDT,crypto,RUNNER_ONLY,catalog_runner_full_sample,{},-0.8141,-0.8141,-0.8141,-0.3495,-0.3495,-0.3495,-0.0604,-0.0604,-0.0604,365,365,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_v_06,continuous exposure; runner full-sample fallback
TAA-01,Faber 10M SMA,Faber 10-month SMA: Long asset if price > 10M SMA else cash/bonds,SPY,equity,OK,psa_stable_plateau,"{""ma_window"": 250}",0.6482,0.6844,0.6844,-0.2435,-0.1839,-0.1839,0.0757,0.0902,0.0902,81,6,0.6333,STABLE,4,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 4/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",85.0,catalog_taa_01,
TAA-05,Bond filter equities,Bond filter for equities: Long SPY only if 10Y yield trend down,SPY+TLT,equity,OK,psa_stable_plateau,"{""bond_window"": 40}",0.5668,-0.3194,-0.3194,-0.4107,-0.1707,-0.1707,0.0781,-0.0515,-0.0515,196,21,-0.5021,STABLE,5,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 5/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",61.0,catalog_taa_05,
TAA-06,Gold/rates triangle,Gold / dollar / rates triangle: Long gold when real yields falling + DXY weak,GLD+TLT,commodity,OK,soft_grid_max_robust_sharpe,"{""bond_window"": 100, ""gold_window"": 20}",0.3282,1.0621,1.0621,-0.3342,-0.176,-0.176,0.035,0.2048,0.2048,186,18,0.902,NO_STABLE,2,4,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA grid searched IS-only; no stable plateau — soft floors PF≥1.0 + min trades; selected max (Sharpe+0.25×PF) under soft floors,66.0,catalog_taa_06,soft-selected; stable<3
TAA-07,Crypto vs equity rotation,Crypto vs equity rotation: Risk-on: BTC; risk-off: cash/short perp,BTC+SPY,multi-asset,OK,psa_stable_plateau,"{""spy_window"": 15}",1.3608,-0.4225,-0.4225,-0.6636,-0.4168,-0.4168,0.9286,-0.1942,-0.1942,59,16,-0.5115,STABLE,3,5,"OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; PSA IS plateau (Sharpe≥baseline−0.05, PF≥1.2, trades≥min; 3/5 stable cells); rep params = plateau center (Sharpe+0.25×PF), not grid peak",35.0,catalog_taa_07,
TAA-02,Dual momentum TAA,Dual momentum TAA: Faber + pick stronger asset among top,multi-asset,equity,RUNNER_ONLY,catalog_runner_full_sample,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,10.0,catalog_taa_02,skip PSA v1; runner full-sample fallback
TAA-03,Distressed TAA rotation,Distressed TAA rotation: Rotate into worst recent performer among strategies,multi-asset,equity,SKIP,skipped,{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,SKIP,0,0,OOS cut-off 2025-01-01 (no OOS tuning); signal lag ≥1 bar; fees 4.5bps + slip 5bps; cost stress 2× fees/slip on OOS; no PSA grid / data skip — baseline params only,0.0,catalog_taa_03,requires strategy return panel
TAA-04,Risk parity lite,Risk parity lite: Equal risk contribution via 1/σ weights,multi-asset,equity,RUNNER_ONLY,catalog_runner_full_sample,{},0.8039,0.8039,0.8039,-0.4752,-0.4752,-0.4752,0.0962,0.0962,0.0962,8346,8346,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_taa_04,skip PSA v1; runner full-sample fallback
TAA-08,Crisis convexity sleeve,Crisis convexity sleeve: Small long vol / short beta when skew extreme,multi-asset,equity,RUNNER_ONLY,catalog_runner_full_sample,{},-0.3737,-0.3737,-0.3737,-1.0,-1.0,-1.0,-0.3021,-0.3021,-0.3021,1125,1125,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,15.0,catalog_taa_08,skip PSA v1; runner full-sample fallback
XS-01,Cross-sectional momentum,Cross-sectional momentum: Long top decile 20d return; short bottom,Binance perps,cross-section,RUNNER_ONLY,catalog_runner_full_sample,{},0.3327,0.3327,0.3327,-0.9222,-0.9222,-0.9222,-0.1149,-0.1149,-0.1149,2334,2334,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,20.0,catalog_xs_01,CS PSA too expensive; runner full-sample fallback
XS-02,RSI rank L/S,RSI rank L/S: Z-score RSI cross-sectionally; L/S extremes,Binance perps,cross-section,RUNNER_ONLY,catalog_runner_full_sample,{},1.251,1.251,1.251,-0.5829,-0.5829,-0.5829,0.8675,0.8675,0.8675,2340,2340,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_xs_02,CS PSA too expensive; runner full-sample fallback
XS-03,Vol-scaled momentum,Vol-scaled momentum: Rank 20d return / 20d vol,Binance perps,cross-section,RUNNER_ONLY,catalog_runner_full_sample,{},0.7487,0.7487,0.7487,-0.9044,-0.9044,-0.9044,0.215,0.215,0.215,2334,2334,0.0,SKIP,0,0,catalog runner full-sample only (no IS/OOS split); fees 4.5bps + slip 5bps; PSA unavailable — confidence capped,25.0,catalog_xs_03,CS PSA too expensive; runner full-sample fallback
